"Cittadinanza","Genere","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Capo Verde","Maschi",12.00,12.00,12.00,14.00,9.00,0.00,16.00,21.00,21.00,22.00,26.00,27.00,30.00,33.00,33.00,32.00,33.00,38.00,43.00,46.00,43.00,45.00,43.00,46.00,48.00,45.00,42.00
"Ceca. Rep.","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.00,111.00,117.00,118.00,119.00,134.00,140.00,85.00,98.00,118.00,126.00,136.00,140.00,153.00,156.00,167.00,185.00,170.00
"Ceca. Rep.","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,68.00,70.00,69.00,68.00,73.00,69.00,23.00,21.00,20.00,19.00,21.00,22.00,24.00,23.00,27.00,38.00,34.00
"Cecoslovacchia","Femmine",46.00,51.00,60.00,60.00,46.00,0.00,76.00,93.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Cecoslovacchia","Maschi",38.00,45.00,50.00,54.00,42.00,0.00,64.00,62.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Centrafricana Rep.","Femmine",0.00,0.00,0.00,1.00,4.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00
"Centrafricana Rep.","Maschi",1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,0.00,1.00,1.00,0.00,1.00,2.00,1.00,3.00,4.00,4.00
"Ciad","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00
"Ciad","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,4.00,3.00,6.00,6.00,7.00,6.00,8.00,8.00,8.00,7.00,12.00,12.00
"Cile","Femmine",68.00,74.00,83.00,87.00,77.00,0.00,127.00,126.00,131.00,132.00,146.00,159.00,162.00,174.00,190.00,177.00,125.00,139.00,149.00,156.00,160.00,161.00,172.00,186.00,205.00,231.00,227.00
"Cile","Maschi",63.00,62.00,68.00,77.00,56.00,0.00,81.00,81.00,85.00,87.00,94.00,102.00,107.00,119.00,129.00,116.00,84.00,98.00,111.00,115.00,120.00,124.00,127.00,123.00,127.00,139.00,123.00
"Cinese. Repubblica Popolare","Femmine",455.00,637.00,674.00,805.00,454.00,1171.00,1305.00,1396.00,1578.00,1743.00,2281.00,3225.00,3536.00,4064.00,4747.00,5103.00,4466.00,5456.00,6212.00,6641.00,6992.00,7250.00,8245.00,9173.00,10145.00,11769.00,12376.00
"Cinese. Repubblica Popolare","Maschi",614.00,871.00,920.00,1087.00,529.00,1622.00,1774.00,1888.00,1998.00,2135.00,2757.00,3706.00,3980.00,4611.00,5549.00,5844.00,4835.00,6073.00,6898.00,7398.00,7744.00,8009.00,8956.00,9773.00,10707.00,12198.00,12686.00
"Cipro","Femmine",10.00,11.00,14.00,14.00,6.00,0.00,14.00,16.00,16.00,17.00,17.00,17.00,19.00,19.00,19.00,16.00,4.00,4.00,5.00,6.00,6.00,6.00,10.00,10.00,11.00,15.00,17.00
"Cipro","Maschi",28.00,28.00,30.00,31.00,11.00,0.00,30.00,31.00,31.00,29.00,29.00,30.00,31.00,32.00,36.00,35.00,5.00,6.00,5.00,4.00,4.00,4.00,5.00,5.00,6.00,7.00,6.00
"Città del Vaticano","Femmine",0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Colombia","Femmine",49.00,56.00,68.00,100.00,79.00,0.00,146.00,151.00,161.00,172.00,199.00,223.00,241.00,300.00,361.00,396.00,361.00,531.00,591.00,605.00,596.00,564.00,617.00,635.00,663.00,708.00,694.00
"Colombia","Maschi",32.00,42.00,47.00,53.00,34.00,0.00,73.00,69.00,74.00,84.00,99.00,115.00,128.00,158.00,189.00,197.00,167.00,300.00,360.00,343.00,340.00,343.00,375.00,389.00,422.00,466.00,444.00
"Comore","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Comore","Maschi",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Congo","Femmine",5.00,5.00,5.00,5.00,8.00,0.00,25.00,10.00,11.00,13.00,13.00,10.00,11.00,16.00,29.00,37.00,37.00,51.00,57.00,56.00,62.00,58.00,56.00,50.00,51.00,55.00,51.00
"Congo","Maschi",2.00,2.00,2.00,3.00,4.00,0.00,36.00,10.00,10.00,14.00,17.00,19.00,23.00,27.00,38.00,40.00,38.00,48.00,66.00,70.00,81.00,72.00,70.00,66.00,64.00,64.00,64.00
"Congo. Rep. Dem. (Zaire)","Femmine",6.00,3.00,4.00,7.00,10.00,0.00,0.00,20.00,19.00,28.00,33.00,37.00,37.00,39.00,41.00,41.00,28.00,33.00,39.00,40.00,40.00,42.00,51.00,53.00,54.00,53.00,51.00
"Congo. Rep. Dem. (Zaire)","Maschi",15.00,17.00,18.00,17.00,8.00,0.00,0.00,30.00,27.00,30.00,38.00,47.00,48.00,48.00,47.00,40.00,25.00,32.00,36.00,38.00,42.00,41.00,49.00,48.00,47.00,50.00,49.00
"Corea. Rep. Pop. Dem. (Corea del Nord)","Femmine",2.00,2.00,2.00,2.00,14.00,0.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,0.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00
"Corea. Rep. Pop. Dem. (Corea del Nord)","Maschi",2.00,2.00,2.00,2.00,12.00,0.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Corea. Repubblica (Corea del Sud)","Femmine",90.00,98.00,105.00,124.00,85.00,0.00,178.00,2.00,248.00,276.00,300.00,341.00,355.00,377.00,419.00,429.00,230.00,249.00,281.00,290.00,297.00,312.00,339.00,347.00,377.00,410.00,441.00
"Corea. Repubblica (Corea del Sud)","Maschi",76.00,82.00,87.00,115.00,51.00,0.00,133.00,0.00,178.00,183.00,204.00,233.00,244.00,259.00,287.00,297.00,145.00,151.00,177.00,185.00,197.00,204.00,225.00,236.00,260.00,290.00,300.00
"Costa d'Avorio","Femmine",12.00,12.00,13.00,17.00,13.00,0.00,38.00,42.00,50.00,61.00,75.00,94.00,97.00,95.00,103.00,98.00,87.00,91.00,97.00,93.00,88.00,96.00,111.00,120.00,118.00,126.00,121.00
"Costa d'Avorio","Maschi",32.00,38.00,42.00,46.00,40.00,0.00,82.00,83.00,70.00,73.00,114.00,146.00,149.00,158.00,160.00,141.00,102.00,119.00,134.00,144.00,145.00,144.00,146.00,157.00,150.00,225.00,187.00
"Costarica","Femmine",7.00,8.00,9.00,10.00,7.00,0.00,11.00,10.00,11.00,12.00,15.00,18.00,17.00,16.00,17.00,17.00,6.00,8.00,13.00,13.00,13.00,12.00,11.00,11.00,11.00,13.00,12.00
"Costarica","Maschi",2.00,2.00,2.00,2.00,1.00,0.00,4.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,3.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,5.00,4.00
"Croazia","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,33.00,92.00,168.00,194.00,215.00,247.00,259.00,262.00,285.00,268.00,219.00,238.00,266.00,258.00,257.00,253.00,257.00,264.00,265.00,308.00,294.00
"Croazia","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,37.00,84.00,138.00,151.00,170.00,193.00,199.00,195.00,207.00,191.00,131.00,136.00,148.00,148.00,151.00,139.00,136.00,139.00,139.00,172.00,160.00
"Cuba","Femmine",8.00,9.00,8.00,11.00,10.00,0.00,28.00,34.00,49.00,65.00,86.00,140.00,168.00,203.00,257.00,287.00,245.00,283.00,349.00,357.00,345.00,344.00,386.00,400.00,427.00,459.00,453.00
"Cuba","Maschi",9.00,10.00,7.00,8.00,5.00,0.00,14.00,16.00,18.00,22.00,28.00,39.00,52.00,76.00,95.00,106.00,90.00,116.00,142.00,157.00,162.00,170.00,196.00,213.00,231.00,267.00,261.00
"Danimarca","Femmine",41.00,48.00,55.00,56.00,39.00,0.00,84.00,90.00,103.00,107.00,120.00,127.00,126.00,138.00,133.00,125.00,70.00,72.00,74.00,71.00,72.00,75.00,81.00,91.00,95.00,94.00,93.00
"Danimarca","Maschi",36.00,34.00,39.00,38.00,21.00,0.00,47.00,56.00,56.00,56.00,63.00,72.00,72.00,76.00,78.00,76.00,34.00,37.00,44.00,46.00,46.00,46.00,52.00,58.00,59.00,60.00,59.00
"Dominica","Femmine",0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,20.00,24.00,21.00,17.00,14.00,12.00,9.00,7.00,8.00,7.00,7.00,5.00,5.00,5.00,7.00,7.00,7.00,7.00
